Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.011354166885,0.623169124533888,0.144648441113532,
,,,-0.0113020835525,0.614515857683728,0.13891979935579,
,,,-0.01125000022,0.605450530507369,0.156105724629015,
,,,-0.0111979168875,0.596797263657209,0.135100704850629,
,,,-0.011145833555,0.588143996807048,0.158015271881595,
,,,-0.0110937502225,0.579490729956888,0.186658480670303,
,,,-0.01104166689,0.570837463106727,0.186658480670303,
,,,-0.0109895835575,0.562184196256567,0.219120783964172,
,,,-0.010937500225,0.553942989732604,0.186658480670303,
,,,-0.0108854168925,0.545289722882444,0.217211236711591,
,,,-0.01083333356,0.537048516358482,0.242035350995138,
,,,-0.0107812502275,0.529219370160718,0.205753953196108,
,,,-0.010729166895,0.520978163636755,0.240125803742558,
,,,-0.0106770835625,0.513149017438991,0.228668520227075,
,,,-0.01062500023,0.504907810915029,0.276407201541588,
,,,-0.0105729168975,0.497078664717264,0.295502674067393,
,,,-0.010520833565,0.4892495185195,0.333693619119003,
,,,-0.0104687502325,0.481420372321736,0.377613205928355,
,,,-0.0104166669,0.47400328645017,0.352789091644809,
,,,-0.0103645835675,0.466586200578604,0.415804150979966,
,,,-0.010312500235,0.45875705438084,0.46545237954706,
,,,-0.0102604169025,0.451339968509274,0.608668423490599,
,,,-0.01020833357,0.443922882637708,0.75952265644446,
,,,-0.0101562502375,0.436093736439943,1.00394470477477,
,,,-0.010104166905,0.428676650568377,1.471783781657,
,,,-0.0100520835725,0.421671625023009,2.26042679697275,
,,,-0.01000000024,0.413842478825245,2.96886882768013,
,,,-0.0099479169075,0.406837453279877,2.60032620793208,
,,,-0.009895833575,0.398596246755915,1.58253752230667,
,,,-0.0098437502425,0.391591221210547,0.772889487212524,
,,,-0.00979166691,0.383762075012783,0.301231315825135,
,,,-0.0097395835775,0.375932928815018,0.058718814747408,
,,,-0.009687500245,0.368103782617254,-0.0864067764487118,
,,,-0.0096354169125,0.36027463641949,-0.147512288531289,
,,,-0.00958333358,0.352445490221726,-0.199070064350963,
,,,-0.0095312502475,0.344616344023962,-0.220075084129348,
,,,-0.009479166915,0.336787197826197,-0.237261009402573,
,,,-0.0094270835825,0.328958051628433,-0.252537387423217,
,,,-0.00937500025,0.321540965756867,-0.244899198412895,
,,,-0.0093229169175,0.313711819559103,-0.22580372588709,
,,,-0.009270833585,0.305882673361339,-0.202889158856124,
,,,-0.0092187502525,0.298465587489773,-0.158969572046772,
,,,-0.00916666692,0.290636441292008,-0.162788666551933,
,,,-0.0091145835875,0.282807295094244,-0.130326363258064,
,,,-0.009062500255,0.275390209222678,-0.0978640599641949,
,,,-0.0090104169225,0.267561063024914,-0.0501253786496818,
,,,-0.00895833359,0.260143977153348,-0.0596731149125844,
,,,-0.0089062502575,0.252726891281782,-0.029120358871296,
,,,-0.008854166925,0.245721865736414,-0.00429624458774924,
,,,-0.0088020835925,0.238304779864848,0.0205278696957976,
,,,-0.00875000026,0.23129975431948,-0.00429624458774924,
,,,-0.0086979169275,0.223882668447914,0.0205278696957976,
,,,-0.008645833595,0.216877642902546,0.0128896806854755,
,,,-0.0085937502625,0.209872617357178,0.00334194442257285,
,,,-0.00854166693,0.20286759181181,0.0205278696957976,
,,,-0.0084895835975,0.195862566266442,0.0338947004638612,
,,,-0.008437500265,0.188857540721074,0.0396233422216028,
,,,-0.0083854169325,0.181852515175706,0.0778142872732133,
,,,-0.0083333336,0.174847489630338,0.0873620235361159,
,,,-0.0082812502675,0.168254524411168,0.123643421335146,
,,,-0.008229166935,0.1612494988658,0.123643421335146,
,,,-0.0081770836025,0.154244473320432,0.127462515840307,
,,,-0.00812500027,0.147239447775064,0.123643421335146,
,,,-0.0080729169375,0.139822361903498,0.146557988366112,
,,,-0.008020833605,0.132405276031932,0.140829346608371,
,,,-0.0079687502725,0.125400250486564,0.156105724629015,
,,,-0.00791666694,0.1175711042888,0.192387122428045,
,,,-0.0078645836075,0.110566078743432,0.167563008144498,
,,,-0.007812500275,0.103148992871866,0.171382102649659,
,,,-0.0077604169425,0.0953198466741014,0.192387122428045,
,,,-0.00770833361,0.0883148211287335,0.209573047701269,
,,,-0.0076562502775,0.0804856749309693,0.222939878469333,
,,,-0.007604166945,0.0734806493856013,0.238216256489977,
,,,-0.0075520836125,0.0660635635140352,0.253492634510621,
,,,-0.00750000028,0.0586464776424691,0.207663500448689,
,,,-0.0074479169475,0.0516414520971011,0.234397161984816,
,,,-0.007395833615,0.0446364265517332,0.234397161984816,
,,,-0.0073437502825,0.0376314010063652,0.222939878469333,
,,,-0.00729166695,0.0306263754609972,0.274497654289007,
,,,-0.0072395836175,0.0244454705680255,0.274497654289007,
