Description	
Number of Runs	100
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
477	950	7	1	05/15/23 04:44:36 PM	
478	950	7	1	05/15/23 04:44:37 PM	
479	950	5	1	05/15/23 04:44:38 PM	
480	950	3	1	05/15/23 04:44:39 PM	
481	950	5	1	05/15/23 04:44:40 PM	
482	950	1	1	05/15/23 04:44:41 PM	
483	950	3	1	05/15/23 04:44:42 PM	
484	950	5	1	05/15/23 04:44:44 PM	
485	950	2	1	05/15/23 04:44:45 PM	
486	950	1	1	05/15/23 04:44:46 PM	
487	950	2	1	05/15/23 04:44:47 PM	
488	950	1	1	05/15/23 04:44:48 PM	
489	950	3	1	05/15/23 04:44:49 PM	
490	950	5	1	05/15/23 04:44:50 PM	
491	950	1	1	05/15/23 04:44:52 PM	
492	950	5	1	05/15/23 04:44:53 PM	
493	950	3	1	05/15/23 04:44:54 PM	
494	950	3	1	05/15/23 04:44:55 PM	
495	950	2	1	05/15/23 04:44:56 PM	
496	950	3	1	05/15/23 04:44:57 PM	
497	950	3	1	05/15/23 04:44:59 PM	
498	950	6	1	05/15/23 04:45:00 PM	
499	950	2	1	05/15/23 04:45:01 PM	
500	950	4	1	05/15/23 04:45:02 PM	
501	950	1	1	05/15/23 04:45:03 PM	
502	950	1	1	05/15/23 04:45:04 PM	
503	950	3	1	05/15/23 04:45:05 PM	
504	950	3	1	05/15/23 04:45:07 PM	
505	950	0	1	05/15/23 04:45:08 PM	
506	950	5	1	05/15/23 04:45:09 PM	
507	950	3	1	05/15/23 04:45:10 PM	
508	950	2	1	05/15/23 04:45:11 PM	
509	950	0	1	05/15/23 04:45:12 PM	
510	950	1	1	05/15/23 04:45:14 PM	
511	950	4	1	05/15/23 04:45:15 PM	
512	950	2	1	05/15/23 04:45:16 PM	
513	950	2	1	05/15/23 04:45:17 PM	
514	950	3	1	05/15/23 04:45:18 PM	
515	950	4	1	05/15/23 04:45:19 PM	
516	950	4	1	05/15/23 04:45:20 PM	
517	950	3	1	05/15/23 04:45:22 PM	
518	950	3	1	05/15/23 04:45:23 PM	
519	950	4	1	05/15/23 04:45:24 PM	
520	950	3	1	05/15/23 04:45:25 PM	
521	950	4	1	05/15/23 04:45:26 PM	
522	950	4	1	05/15/23 04:45:27 PM	
523	950	2	1	05/15/23 04:45:28 PM	
524	950	3	1	05/15/23 04:45:30 PM	
525	950	4	1	05/15/23 04:45:31 PM	
526	950	2	1	05/15/23 04:45:32 PM	
527	950	3	1	05/15/23 04:45:33 PM	
528	950	1	1	05/15/23 04:45:34 PM	
529	950	8	1	05/15/23 04:45:36 PM	
530	950	4	1	05/15/23 04:45:37 PM	
531	950	1	1	05/15/23 04:45:38 PM	
532	950	4	1	05/15/23 04:45:39 PM	
533	950	4	1	05/15/23 04:45:40 PM	
534	950	3	1	05/15/23 04:45:41 PM	
535	950	1	1	05/15/23 04:45:42 PM	
536	950	4	1	05/15/23 04:45:44 PM	
537	950	5	1	05/15/23 04:45:45 PM	
538	950	2	1	05/15/23 04:45:46 PM	
539	950	1	1	05/15/23 04:45:47 PM	
540	950	1	1	05/15/23 04:45:48 PM	
541	950	2	1	05/15/23 04:45:49 PM	
542	950	4	1	05/15/23 04:45:50 PM	
543	950	2	1	05/15/23 04:45:52 PM	
544	950	3	1	05/15/23 04:45:53 PM	
545	950	2	1	05/15/23 04:45:54 PM	
546	950	6	1	05/15/23 04:45:55 PM	
547	950	3	1	05/15/23 04:45:56 PM	
548	950	2	1	05/15/23 04:45:57 PM	
549	950	1	1	05/15/23 04:45:58 PM	
550	950	2	1	05/15/23 04:46:00 PM	
